year,country,country_iso2,region,region_trase_id,parent_region,parent_region_trase_id,fire_on_peatlands_hectares
"2015","INDONESIA","ID","KAPUAS","ID-6203","KALIMANTAN TENGAH","ID-62","84122.8708235911"
"2015","INDONESIA","ID","KAPUAS HULU","ID-6108","KALIMANTAN BARAT","ID-61","361.791176470595"
"2015","INDONESIA","ID","KARANGANYAR","ID-3313","JAWA TENGAH","ID-33","0"
"2015","INDONESIA","ID","KARANGASEM","ID-5107","BALI","ID-51","0"
"2015","INDONESIA","ID","KARAWANG","ID-3215","JAWA BARAT","ID-32","0"
"2015","INDONESIA","ID","KARIMUN","ID-2101","KEP. RIAU","ID-21","0"
"2015","INDONESIA","ID","KARO","ID-1211","SUMATERA UTARA","ID-12","0"
"2015","INDONESIA","ID","KATINGAN","ID-6209","KALIMANTAN TENGAH","ID-62","66491.4388235976"
"2015","INDONESIA","ID","KAUR","ID-1704","BENGKULU","ID-17","0"
"2015","INDONESIA","ID","KAYONG UTARA","ID-6111","KALIMANTAN BARAT","ID-61","2896.66270588229"
"2015","INDONESIA","ID","KEBUMEN","ID-3305","JAWA TENGAH","ID-33","0"
"2015","INDONESIA","ID","KEDIRI","ID-3506","JAWA TIMUR","ID-35","0"
"2015","INDONESIA","ID","KEEROM","ID-9420","PAPUA","ID-94","0"
"2015","INDONESIA","ID","KENDAL","ID-3324","JAWA TENGAH","ID-33","0"
"2015","INDONESIA","ID","KENDARI (KOTA)","ID-7471","SULAWESI TENGGARA","ID-74","0"
"2015","INDONESIA","ID","KEPAHIANG","ID-1708","BENGKULU","ID-17","0"
"2015","INDONESIA","ID","KEPULAUAN ANAMBAS","ID-2105","KEP. RIAU","ID-21","0"
"2015","INDONESIA","ID","KEPULAUAN ARU","ID-8105","MALUKU","ID-81","0"
"2015","INDONESIA","ID","KEPULAUAN MENTAWAI","ID-1301","SUMATERA BARAT","ID-13","0"
"2015","INDONESIA","ID","KEPULAUAN MERANTI","ID-1410","RIAU","ID-14","4153.13682352889"
"2015","INDONESIA","ID","KEPULAUAN SANGIHE","ID-7103","SULAWESI UTARA","ID-71","0"
"2015","INDONESIA","ID","KEPULAUAN SELAYAR","ID-7301","SULAWESI SELATAN","ID-73","0"
"2015","INDONESIA","ID","KEPULAUAN SERIBU","ID-3101","DKI JAKARTA","ID-31","0"
"2015","INDONESIA","ID","KEPULAUAN SIAU TAGULANDANG BIARO","ID-7108","SULAWESI UTARA","ID-71","0"
"2015","INDONESIA","ID","KEPULAUAN SULA","ID-8203","MALUKU UTARA","ID-82","0"
"2015","INDONESIA","ID","KEPULAUAN TIDORE (KOTA)","ID-8272","MALUKU UTARA","ID-82","0"
"2015","INDONESIA","ID","KEPULAUAN YAPEN","ID-9408","PAPUA","ID-94","0"
"2015","INDONESIA","ID","KERINCI","ID-1501","JAMBI","ID-15","0"
"2015","INDONESIA","ID","KETAPANG","ID-6106","KALIMANTAN BARAT","ID-61","10699.3976470575"
"2015","INDONESIA","ID","KLATEN","ID-3310","JAWA TENGAH","ID-33","0"
"2015","INDONESIA","ID","KLUNGKUNG","ID-5105","BALI","ID-51","0"
"2015","INDONESIA","ID","KOLAKA","ID-7404","SULAWESI TENGGARA","ID-74","0"
