year,country,country_iso2,region,region_trase_id,parent_region,parent_region_trase_id,burned_areas_hectares
"2015","INDONESIA","ID","BOVEN DIGOEL","ID-9413","PAPUA","ID-94","812.29129411769"
"2015","INDONESIA","ID","BOYOLALI","ID-3309","JAWA TENGAH","ID-33","0"
"2015","INDONESIA","ID","BREBES","ID-3329","JAWA TENGAH","ID-33","0"
"2015","INDONESIA","ID","BULELENG","ID-5108","BALI","ID-51","0"
"2015","INDONESIA","ID","BULUKUMBA","ID-7302","SULAWESI SELATAN","ID-73","0"
"2015","INDONESIA","ID","BULUNGAN","ID-6502","KALIMANTAN UTARA","ID-65","5531.6774117643"
"2015","INDONESIA","ID","BUNGO","ID-1509","JAMBI","ID-15","873.270352941168"
"2015","INDONESIA","ID","BUOL","ID-7207","SULAWESI TENGAH","ID-72","2397.08682352943"
"2015","INDONESIA","ID","BURU","ID-8104","MALUKU","ID-81","17865.4058823516"
"2015","INDONESIA","ID","BURU SELATAN","ID-8109","MALUKU","ID-81","0"
"2015","INDONESIA","ID","BUTON","ID-7401","SULAWESI TENGGARA","ID-74","24.66"
"2015","INDONESIA","ID","BUTON SELATAN","ID-7415","SULAWESI TENGGARA","ID-74","359.189999999994"
"2015","INDONESIA","ID","BUTON TENGAH","ID-7414","SULAWESI TENGGARA","ID-74","0"
"2015","INDONESIA","ID","BUTON UTARA","ID-7409","SULAWESI TENGGARA","ID-74","0"
"2015","INDONESIA","ID","CIAMIS","ID-3207","JAWA BARAT","ID-32","0"
"2015","INDONESIA","ID","CIANJUR","ID-3203","JAWA BARAT","ID-32","0"
"2015","INDONESIA","ID","CILACAP","ID-3301","JAWA TENGAH","ID-33","51.0299999999999"
"2015","INDONESIA","ID","CILEGON (KOTA)","ID-3672","BANTEN","ID-36","0"
"2015","INDONESIA","ID","CIREBON","ID-3209","JAWA BARAT","ID-32","0"
"2015","INDONESIA","ID","CIREBON (KOTA)","ID-3274","JAWA BARAT","ID-32","0"
"2015","INDONESIA","ID","DAIRI","ID-1210","SUMATERA UTARA","ID-12","241.650000000008"
"2015","INDONESIA","ID","DEIYAI","ID-9436","PAPUA","ID-94","0"
"2015","INDONESIA","ID","DELI SERDANG","ID-1212","SUMATERA UTARA","ID-12","0"
"2015","INDONESIA","ID","DEMAK","ID-3321","JAWA TENGAH","ID-33","0"
"2015","INDONESIA","ID","DENPASAR (KOTA)","ID-5171","BALI","ID-51","0"
"2015","INDONESIA","ID","DEPOK (KOTA)","ID-3276","JAWA BARAT","ID-32","0"
"2015","INDONESIA","ID","DHARMASRAYA","ID-1311","SUMATERA BARAT","ID-13","12842.8937647206"
"2015","INDONESIA","ID","DOGIYAI","ID-9434","PAPUA","ID-94","0"
"2015","INDONESIA","ID","DOMPU","ID-5205","NUSA TENGGARA BARAT","ID-52","1373.85000000009"
"2015","INDONESIA","ID","DONGGALA","ID-7205","SULAWESI TENGAH","ID-72","702.810000000007"
"2015","INDONESIA","ID","DUMAI (KOTA)","ID-1473","RIAU","ID-14","1787.79211764712"
"2015","INDONESIA","ID","EMPAT LAWANG","ID-1611","SUMATERA SELATAN","ID-16","0"
"2015","INDONESIA","ID","ENDE","ID-5311","NUSA TENGGARA TIMUR","ID-53","1615.72058823543"
