year,country,country_iso2,region,region_trase_id,parent_region,parent_region_trase_id,deforestation_hectares
"2001","INDONESIA","ID","CIREBON (KOTA)","ID-3274","JAWA BARAT","ID-32","0"
"2001","INDONESIA","ID","DAIRI","ID-1210","SUMATERA UTARA","ID-12","56.25"
"2001","INDONESIA","ID","DEIYAI","ID-9436","PAPUA","ID-94","0"
"2001","INDONESIA","ID","DELI SERDANG","ID-1212","SUMATERA UTARA","ID-12","0.81"
"2001","INDONESIA","ID","DEMAK","ID-3321","JAWA TENGAH","ID-33","0"
"2001","INDONESIA","ID","DENPASAR (KOTA)","ID-5171","BALI","ID-51","0"
"2001","INDONESIA","ID","DEPOK (KOTA)","ID-3276","JAWA BARAT","ID-32","0"
"2001","INDONESIA","ID","DHARMASRAYA","ID-1311","SUMATERA BARAT","ID-13","2016.61729411769"
"2001","INDONESIA","ID","DOGIYAI","ID-9434","PAPUA","ID-94","4.68"
"2001","INDONESIA","ID","DOMPU","ID-5205","NUSA TENGGARA BARAT","ID-52","123.030000000002"
"2001","INDONESIA","ID","DONGGALA","ID-7205","SULAWESI TENGAH","ID-72","1736.73599999999"
"2001","INDONESIA","ID","DUMAI (KOTA)","ID-1473","RIAU","ID-14","26.5390588235294"
"2001","INDONESIA","ID","EMPAT LAWANG","ID-1611","SUMATERA SELATAN","ID-16","253.638000000004"
"2001","INDONESIA","ID","ENDE","ID-5311","NUSA TENGGARA TIMUR","ID-53","0.27"
"2001","INDONESIA","ID","ENREKANG","ID-7316","SULAWESI SELATAN","ID-73","18.9"
"2001","INDONESIA","ID","FAKFAK","ID-9101","PAPUA BARAT","ID-91","1197.83011764709"
"2001","INDONESIA","ID","FLORES TIMUR","ID-5309","NUSA TENGGARA TIMUR","ID-53","0"
"2001","INDONESIA","ID","GARUT","ID-3205","JAWA BARAT","ID-32","113.565529411766"
"2001","INDONESIA","ID","GAYO LUES","ID-1113","ACEH","ID-11","410.703176470588"
"2001","INDONESIA","ID","GIANYAR","ID-5104","BALI","ID-51","0"
"2001","INDONESIA","ID","GORONTALO","ID-7502","GORONTALO","ID-75","388.175294117652"
"2001","INDONESIA","ID","GORONTALO (KOTA)","ID-7571","GORONTALO","ID-75","0"
"2001","INDONESIA","ID","GORONTALO UTARA","ID-7505","GORONTALO","ID-75","26.55"
"2001","INDONESIA","ID","GOWA","ID-7306","SULAWESI SELATAN","ID-73","13.2278823529412"
"2001","INDONESIA","ID","GRESIK","ID-3525","JAWA TIMUR","ID-35","0"
"2001","INDONESIA","ID","GROBOGAN","ID-3315","JAWA TENGAH","ID-33","0"
"2001","INDONESIA","ID","GUNUNG KIDUL","ID-3403","D I YOGYAKARTA","ID-34","0"
"2001","INDONESIA","ID","GUNUNG MAS","ID-6211","KALIMANTAN TENGAH","ID-62","929.978117647075"
"2001","INDONESIA","ID","GUNUNG SITOLI (KOTA)","ID-1278","SUMATERA UTARA","ID-12","0"
"2001","INDONESIA","ID","HALMAHERA BARAT","ID-8201","MALUKU UTARA","ID-82","158.019176470588"
"2001","INDONESIA","ID","HALMAHERA SELATAN","ID-8204","MALUKU UTARA","ID-82","499.408588235301"
"2001","INDONESIA","ID","HALMAHERA TENGAH","ID-8202","MALUKU UTARA","ID-82","158.240823529412"
"2001","INDONESIA","ID","HALMAHERA TIMUR","ID-8206","MALUKU UTARA","ID-82","264.765529411766"
"2001","INDONESIA","ID","HALMAHERA UTARA","ID-8205","MALUKU UTARA","ID-82","9.27"
"2001","INDONESIA","ID","HULU SUNGAI SELATAN","ID-6306","KALIMANTAN SELATAN","ID-63","0"
"2001","INDONESIA","ID","HULU SUNGAI TENGAH","ID-6307","KALIMANTAN SELATAN","ID-63","5.26870588235294"
"2001","INDONESIA","ID","HULU SUNGAI UTARA","ID-6308","KALIMANTAN SELATAN","ID-63","0"
"2001","INDONESIA","ID","HUMBANG HASUNDUTAN","ID-1215","SUMATERA UTARA","ID-12","26.1"
"2001","INDONESIA","ID","INDRAGIRI HILIR","ID-1403","RIAU","ID-14","5993.44941176488"
"2001","INDONESIA","ID","INDRAGIRI HULU","ID-1402","RIAU","ID-14","17969.3901176459"
"2001","INDONESIA","ID","INDRAMAYU","ID-3212","JAWA BARAT","ID-32","0"
"2001","INDONESIA","ID","INTAN JAYA","ID-9435","PAPUA","ID-94","10.5"
"2001","INDONESIA","ID","JAKARTA BARAT (KOTA)","ID-3174","DKI JAKARTA","ID-31","0"
"2001","INDONESIA","ID","JAKARTA PUSAT (KOTA)","ID-3173","DKI JAKARTA","ID-31","0"
"2001","INDONESIA","ID","JAKARTA SELATAN (KOTA)","ID-3171","DKI JAKARTA","ID-31","0"
"2001","INDONESIA","ID","JAKARTA TIMUR (KOTA)","ID-3172","DKI JAKARTA","ID-31","0"
"2001","INDONESIA","ID","JAKARTA UTARA (KOTA)","ID-3175","DKI JAKARTA","ID-31","0"
"2001","INDONESIA","ID","JAMBI (KOTA)","ID-1571","JAMBI","ID-15","0"
"2001","INDONESIA","ID","JAYAPURA","ID-9403","PAPUA","ID-94","1439.71764705883"
"2001","INDONESIA","ID","JAYAPURA (KOTA)","ID-9471","PAPUA","ID-94","35.737411764706"
"2001","INDONESIA","ID","JAYAWIJAYA","ID-9402","PAPUA","ID-94","81.3797647058823"
"2001","INDONESIA","ID","JEMBER","ID-3509","JAWA TIMUR","ID-35","218.966823529416"
"2001","INDONESIA","ID","JEMBRANA","ID-5101","BALI","ID-51","5.13"
"2001","INDONESIA","ID","JENEPONTO","ID-7304","SULAWESI SELATAN","ID-73","9.16235294117647"
"2001","INDONESIA","ID","JEPARA","ID-3320","JAWA TENGAH","ID-33","0"
"2001","INDONESIA","ID","JOMBANG","ID-3517","JAWA TIMUR","ID-35","0"
"2001","INDONESIA","ID","KAIMANA","ID-9102","PAPUA BARAT","ID-91","1105.69164705884"
"2001","INDONESIA","ID","KAMPAR","ID-1406","RIAU","ID-14","2679.11152941174"
"2001","INDONESIA","ID","KAPUAS","ID-6203","KALIMANTAN TENGAH","ID-62","2749.02670588238"
"2001","INDONESIA","ID","KAPUAS HULU","ID-6108","KALIMANTAN BARAT","ID-61","913.207058823537"
"2001","INDONESIA","ID","KARANGANYAR","ID-3313","JAWA TENGAH","ID-33","0"
"2001","INDONESIA","ID","KARANGASEM","ID-5107","BALI","ID-51","0"
"2001","INDONESIA","ID","KARAWANG","ID-3215","JAWA BARAT","ID-32","1.08"
"2001","INDONESIA","ID","KARIMUN","ID-2101","KEP. RIAU","ID-21","11.61"
"2001","INDONESIA","ID","KARO","ID-1211","SUMATERA UTARA","ID-12","60.84"
"2001","INDONESIA","ID","KATINGAN","ID-6209","KALIMANTAN TENGAH","ID-62","771.384352941181"
"2001","INDONESIA","ID","KAUR","ID-1704","BENGKULU","ID-17","23.13"
"2001","INDONESIA","ID","KAYONG UTARA","ID-6111","KALIMANTAN BARAT","ID-61","332.36576470589"
"2001","INDONESIA","ID","KEBUMEN","ID-3305","JAWA TENGAH","ID-33","0"
"2001","INDONESIA","ID","KEDIRI","ID-3506","JAWA TIMUR","ID-35","4.77"
"2001","INDONESIA","ID","KEEROM","ID-9420","PAPUA","ID-94","189.15705882353"
"2001","INDONESIA","ID","KENDAL","ID-3324","JAWA TENGAH","ID-33","0"
"2001","INDONESIA","ID","KENDARI (KOTA)","ID-7471","SULAWESI TENGGARA","ID-74","0"
"2001","INDONESIA","ID","KEPAHIANG","ID-1708","BENGKULU","ID-17","0"
"2001","INDONESIA","ID","KEPULAUAN ANAMBAS","ID-2105","KEP. RIAU","ID-21","0"
"2001","INDONESIA","ID","KEPULAUAN ARU","ID-8105","MALUKU","ID-81","69.9296470588235"
"2001","INDONESIA","ID","KEPULAUAN MENTAWAI","ID-1301","SUMATERA BARAT","ID-13","238.770000000001"
"2001","INDONESIA","ID","KEPULAUAN MERANTI","ID-1410","RIAU","ID-14","1401.99388235293"
"2001","INDONESIA","ID","KEPULAUAN SANGIHE","ID-7103","SULAWESI UTARA","ID-71","0"
"2001","INDONESIA","ID","KEPULAUAN SELAYAR","ID-7301","SULAWESI SELATAN","ID-73","0"
"2001","INDONESIA","ID","KEPULAUAN SERIBU","ID-3101","DKI JAKARTA","ID-31","0"
"2001","INDONESIA","ID","KEPULAUAN SIAU TAGULANDANG BIARO","ID-7108","SULAWESI UTARA","ID-71","0"
"2001","INDONESIA","ID","KEPULAUAN SULA","ID-8203","MALUKU UTARA","ID-82","62.37"
"2001","INDONESIA","ID","KEPULAUAN TIDORE (KOTA)","ID-8272","MALUKU UTARA","ID-82","0"
"2001","INDONESIA","ID","KEPULAUAN YAPEN","ID-9408","PAPUA","ID-94","228.054352941179"
"2001","INDONESIA","ID","KERINCI","ID-1501","JAMBI","ID-15","484.9464705882"
"2001","INDONESIA","ID","KETAPANG","ID-6106","KALIMANTAN BARAT","ID-61","3284.1575294118"
"2001","INDONESIA","ID","KLATEN","ID-3310","JAWA TENGAH","ID-33","0"
"2001","INDONESIA","ID","KLUNGKUNG","ID-5105","BALI","ID-51","0"
"2001","INDONESIA","ID","KOLAKA","ID-7404","SULAWESI TENGGARA","ID-74","721.899529411776"
"2001","INDONESIA","ID","KOLAKA TIMUR","ID-7411","SULAWESI TENGGARA","ID-74","3.66776470588235"
"2001","INDONESIA","ID","KOLAKA UTARA","ID-7408","SULAWESI TENGGARA","ID-74","506.548588235292"
"2001","INDONESIA","ID","KONAWE","ID-7403","SULAWESI TENGGARA","ID-74","363.226235294119"
"2001","INDONESIA","ID","KONAWE KEPULAUAN","ID-7412","SULAWESI TENGGARA","ID-74","88.5600000000002"
"2001","INDONESIA","ID","KONAWE SELATAN","ID-7405","SULAWESI TENGGARA","ID-74","419.025529411771"
"2001","INDONESIA","ID","KONAWE UTARA","ID-7410","SULAWESI TENGGARA","ID-74","70.9298823529421"
"2001","INDONESIA","ID","KOTABARU","ID-6302","KALIMANTAN SELATAN","ID-63","2389.30270588232"
"2001","INDONESIA","ID","KOTAMOBAGU (KOTA)","ID-7174","SULAWESI UTARA","ID-71","0"
"2001","INDONESIA","ID","KOTAWARINGIN BARAT","ID-6201","KALIMANTAN TENGAH","ID-62","3977.11129411753"
"2001","INDONESIA","ID","KOTAWARINGIN TIMUR","ID-6202","KALIMANTAN TENGAH","ID-62","972.664235294132"
"2001","INDONESIA","ID","KUANTAN SINGINGI","ID-1401","RIAU","ID-14","13956.2092941167"
"2001","INDONESIA","ID","KUBU RAYA","ID-6112","KALIMANTAN BARAT","ID-61","303.35717647059"
"2001","INDONESIA","ID","KUDUS","ID-3319","JAWA TENGAH","ID-33","0"
"2001","INDONESIA","ID","KULON PROGO","ID-3401","D I YOGYAKARTA","ID-34","0"
"2001","INDONESIA","ID","KUNINGAN","ID-3208","JAWA BARAT","ID-32","12.7097647058823"
"2001","INDONESIA","ID","KUPANG","ID-5303","NUSA TENGGARA TIMUR","ID-53","0"
"2001","INDONESIA","ID","KUPANG (KOTA)","ID-5371","NUSA TENGGARA TIMUR","ID-53","0"
"2001","INDONESIA","ID","KUTAI BARAT","ID-6402","KALIMANTAN TIMUR","ID-64","531.949058823531"
"2001","INDONESIA","ID","KUTAI KARTANEGARA","ID-6403","KALIMANTAN TIMUR","ID-64","156.723882352941"
"2001","INDONESIA","ID","KUTAI TIMUR","ID-6404","KALIMANTAN TIMUR","ID-64","791.106705882362"
"2001","INDONESIA","ID","LABUHAN BATU","ID-1207","SUMATERA UTARA","ID-12","404.192823529419"
"2001","INDONESIA","ID","LABUHAN BATU SELATAN","ID-1222","SUMATERA UTARA","ID-12","98.5401176470611"
"2001","INDONESIA","ID","LABUHAN BATU UTARA","ID-1223","SUMATERA UTARA","ID-12","1.8"
"2001","INDONESIA","ID","LAHAT","ID-1604","SUMATERA SELATAN","ID-16","169.621058823529"
"2001","INDONESIA","ID","LAMANDAU","ID-6207","KALIMANTAN TENGAH","ID-62","992.175529411777"
"2001","INDONESIA","ID","LAMONGAN","ID-3524","JAWA TIMUR","ID-35","0"
"2001","INDONESIA","ID","LAMPUNG BARAT","ID-1801","LAMPUNG","ID-18","393.653647058831"
"2001","INDONESIA","ID","LAMPUNG SELATAN","ID-1803","LAMPUNG","ID-18","12.24"
"2001","INDONESIA","ID","LAMPUNG TENGAH","ID-1805","LAMPUNG","ID-18","2.97"
"2001","INDONESIA","ID","LAMPUNG TIMUR","ID-1804","LAMPUNG","ID-18","19.9087058823529"
"2001","INDONESIA","ID","LAMPUNG UTARA","ID-1806","LAMPUNG","ID-18","0"
"2001","INDONESIA","ID","LANDAK","ID-6103","KALIMANTAN BARAT","ID-61","562.698705882361"
