year,country,country_iso2,region,region_trase_id,parent_region,parent_region_trase_id,deforestation_hectares
"2003","INDONESIA","ID","SULAWESI BARAT","ID-76","SULAWESI","ID-SL","1701.70941176473"
"2003","INDONESIA","ID","SULAWESI SELATAN","ID-73","SULAWESI","ID-SL","2441.47835294115"
"2003","INDONESIA","ID","SULAWESI TENGAH","ID-72","SULAWESI","ID-SL","11893.7897647059"
"2003","INDONESIA","ID","SULAWESI TENGGARA","ID-74","SULAWESI","ID-SL","6172.66341176477"
"2003","INDONESIA","ID","SULAWESI UTARA","ID-71","SULAWESI","ID-SL","1663.10929411766"
"2003","INDONESIA","ID","SUMATERA BARAT","ID-13","SUMATERA","ID-SM","7032.81917647062"
"2003","INDONESIA","ID","SUMATERA SELATAN","ID-16","SUMATERA","ID-SM","1149.12352941178"
"2003","INDONESIA","ID","SUMATERA UTARA","ID-12","SUMATERA","ID-SM","12896.8912941163"
"2004","INDONESIA","ID","ACEH","ID-11","SUMATERA","ID-SM","5588.03611764707"
"2004","INDONESIA","ID","BALI","ID-51","NUSA TENGGARA","ID-NU","1.17"
"2004","INDONESIA","ID","BANTEN","ID-36","JAWA","ID-JW","55.5285882352944"
"2004","INDONESIA","ID","BENGKULU","ID-17","SUMATERA","ID-SM","4448.90399999991"
"2004","INDONESIA","ID","D I YOGYAKARTA","ID-34","JAWA","ID-JW","0"
"2004","INDONESIA","ID","DKI JAKARTA","ID-31","JAWA","ID-JW","0"
"2004","INDONESIA","ID","GORONTALO","ID-75","SULAWESI","ID-SL","2085.21000000004"
"2004","INDONESIA","ID","JAMBI","ID-15","SUMATERA","ID-SM","45501.8685882368"
"2004","INDONESIA","ID","JAWA BARAT","ID-32","JAWA","ID-JW","150.12"
"2004","INDONESIA","ID","JAWA TENGAH","ID-33","JAWA","ID-JW","205.915058823532"
"2004","INDONESIA","ID","JAWA TIMUR","ID-35","JAWA","ID-JW","537.974470588241"
"2004","INDONESIA","ID","KALIMANTAN BARAT","ID-61","KALIMANTAN","ID-KA","34136.3957647085"
"2004","INDONESIA","ID","KALIMANTAN SELATAN","ID-63","KALIMANTAN","ID-KA","10962.4817647056"
"2004","INDONESIA","ID","KALIMANTAN TENGAH","ID-62","KALIMANTAN","ID-KA","56650.4562352944"
"2004","INDONESIA","ID","KALIMANTAN TIMUR","ID-64","KALIMANTAN","ID-KA","14942.6541176472"
"2004","INDONESIA","ID","KALIMANTAN UTARA","ID-65","KALIMANTAN","ID-KA","22879.6404705884"
"2004","INDONESIA","ID","KEP. BANGKA BELITUNG","ID-19","SUMATERA","ID-SM","3541.54270588236"
"2004","INDONESIA","ID","KEP. RIAU","ID-21","SUMATERA","ID-SM","781.440352941187"
"2004","INDONESIA","ID","LAMPUNG","ID-18","SUMATERA","ID-SM","1093.85894117649"
"2004","INDONESIA","ID","MALUKU","ID-81","MALUKU","ID-ML","2182.3874117647"
"2004","INDONESIA","ID","MALUKU UTARA","ID-82","MALUKU","ID-ML","4992.96282352948"
"2004","INDONESIA","ID","NUSA TENGGARA BARAT","ID-52","NUSA TENGGARA","ID-NU","489.600000000008"
"2004","INDONESIA","ID","NUSA TENGGARA TIMUR","ID-53","NUSA TENGGARA","ID-NU","177.566470588235"
"2004","INDONESIA","ID","PAPUA","ID-94","PAPUA","ID-PP","14049.2636470592"
"2004","INDONESIA","ID","PAPUA BARAT","ID-91","PAPUA","ID-PP","14086.101882353"
"2004","INDONESIA","ID","RIAU","ID-14","SUMATERA","ID-SM","192682.940823615"
"2004","INDONESIA","ID","SULAWESI BARAT","ID-76","SULAWESI","ID-SL","2815.91223529407"
"2004","INDONESIA","ID","SULAWESI SELATAN","ID-73","SULAWESI","ID-SL","5756.5348235294"
"2004","INDONESIA","ID","SULAWESI TENGAH","ID-72","SULAWESI","ID-SL","21490.5832941177"
"2004","INDONESIA","ID","SULAWESI TENGGARA","ID-74","SULAWESI","ID-SL","19204.2169411755"
"2004","INDONESIA","ID","SULAWESI UTARA","ID-71","SULAWESI","ID-SL","3304.05070588241"
"2004","INDONESIA","ID","SUMATERA BARAT","ID-13","SUMATERA","ID-SM","14311.1311764701"
"2004","INDONESIA","ID","SUMATERA SELATAN","ID-16","SUMATERA","ID-SM","3472.1572941176"
"2004","INDONESIA","ID","SUMATERA UTARA","ID-12","SUMATERA","ID-SM","27597.0497647052"
"2005","INDONESIA","ID","ACEH","ID-11","SUMATERA","ID-SM","9770.89976470571"
"2005","INDONESIA","ID","BALI","ID-51","NUSA TENGGARA","ID-NU","11.25"
"2005","INDONESIA","ID","BANTEN","ID-36","JAWA","ID-JW","16.1971764705882"
"2005","INDONESIA","ID","BENGKULU","ID-17","SUMATERA","ID-SM","2135.48399999995"
"2005","INDONESIA","ID","D I YOGYAKARTA","ID-34","JAWA","ID-JW","0"
"2005","INDONESIA","ID","DKI JAKARTA","ID-31","JAWA","ID-JW","0"
"2005","INDONESIA","ID","GORONTALO","ID-75","SULAWESI","ID-SL","1464.23823529413"
"2005","INDONESIA","ID","JAMBI","ID-15","SUMATERA","ID-SM","40026.8516470606"
"2005","INDONESIA","ID","JAWA BARAT","ID-32","JAWA","ID-JW","64.62"
